Loan_ID,Gender,Married,Dependents,Education,Self_Employed,LoanAmount,Loan_Amount_Term
LP001002,Male,No,0,Graduate,No,,360
LP001003,Male,Yes,1,Graduate,No,128,360
LP001005,Male,Yes,0,Graduate,Yes,66,360
LP001006,Male,Yes,0,Not Graduate,No,120,360
LP001008,Male,No,0,Graduate,No,141,360
LP001011,Male,Yes,2,Graduate,Yes,267,360
LP001013,Male,Yes,0,Not Graduate,No,95,360
LP001014,Male,Yes,3+,Graduate,No,158,360
LP001018,Male,Yes,2,Graduate,No,168,360
LP001020,Male,Yes,1,Graduate,No,349,360
LP001024,Male,Yes,2,Graduate,No,70,360
LP001027,Male,Yes,2,Graduate,,109,360
LP001028,Male,Yes,2,Graduate,No,200,360
LP001029,Male,No,0,Graduate,No,114,360
LP001030,Male,Yes,2,Graduate,No,17,120
LP001032,Male,No,0,Graduate,No,125,360
LP001034,Male,No,1,Not Graduate,No,100,240
LP001036,Female,No,0,Graduate,No,76,360
LP001038,Male,Yes,0,Not Graduate,No,133,360
LP001041,Male,Yes,0,Graduate,,115,
LP001043,Male,Yes,0,Not Graduate,No,104,360
LPShakeeb,Male,Yes,1,Graduate,No,315,360
,,,,,,,
LP001050,,Yes,2,Not Graduate,No,112,360
